code,count,rule_status
H1,6,base
H2,6,base
J1,6,base
J2,6,base
J3,6,base
J4,6,base
K1,8,base
K111A2,2,base
K111B2,2,base
K111C2,1,extended
K113A2,2,base
K113B2,2,base
K113C2,1,extended
K115A2,1,base
K115B2,1,base
K117A2,1,base
K117B2,1,base
K135,2,base
K15B3,4,base
K15C,4,base
K17A2,4,base
K17B2,4,base
K17B3,4,base
K17C,4,base
K19A2,4,base
K19B2,4,base
K19C,4,base
K1A1,2,base
K1B1,1,base
K21,5,base
K21A1,2,base
K21B1,5,base
K21C,4,base
K23B2,4,base
K3,5,base
K33,7,base
K33A1,2,base
K33B1,1,base
K35C,4,base
K37C,4,base
K39C,4,base
K3A1,2,base
K3B1,1,base
K41,14,base
K41A3,4,base
K41B3,4,base
K41C,4,base
K45A3,4,base
K45B3,4,base
K45C,4,base
K53,8,base
K57,4,base
K59C,4,base
K9,5,base
K9A1,2,base
K9B1,5,base
U1,4,base
U2,4,base
U3,2,base
U4,1,base
W2,2,base
W3,2,base
W41A3,4,base
W41B3,3,base
W41C,4,base
W41P,1,extended
W42A3,4,base
W42B3,4,base
W42C,4,base
W42P,1,extended
W43A3,4,base
W43B3,4,base
W43C,4,base
W43P,1,extended
W5,2,base
X1,1,base
X10,9,base
X110,8,base
X114,8,base
X12C,2,base
X12C2,2,extended
X14C,2,base
X14C2,2,extended
X16A2,4,base
X18B2,4,base
X2,1,base
X20A2,4,base
X22A2,4,base
X24B3,4,base
X26B3,4,base
X28A3,4,base
X3,1,base
X30A3,4,base
X32B2,4,base
X34B2,4,base
X36D,4,base
X38D,4,base
X4,9,base
X41B3,1,base
X5,1,base
X6,9,base
X7,1,base
X8,9,base
X9,1,base
