file,sheet,cell,code,prefix,number,suffix,rule_status,source_text
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C3,H1,H,1,,base,H1
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C4,H2,H,2,,base,H2
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C5,J1,J,1,,base,J1
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C6,J2,J,2,,base,J2
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C7,J3,J,3,,base,J3
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C8,J4,J,4,,base,J4
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C9,K111B2,K,111,B2,base,K111B2
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C10,K113B2,K,113,B2,base,K113B2
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C13,K9,K,9,,base,K9
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C14,K21,K,21,,base,K21
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C15,K1,K,1,,base,K1
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C16,K3,K,3,,base,K3
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C17,K33,K,33,,base,K33
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C18,K41,K,41,,base,K41
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C19,K41,K,41,,base,K41
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C20,K53,K,53,,base,K53
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C21,K57,K,57,,base,K57
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C22,U1,U,1,,base,U1
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C23,U2,U,2,,base,U2
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C26,X110,X,110,,base,X110
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C27,X114,X,114,,base,X114
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C28,X4,X,4,,base,X4
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C29,X6,X,6,,base,X6
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C30,X8,X,8,,base,X8
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C31,X10,X,10,,base,X10
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C32,X18B2,X,18,B2,base,X18B2
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C33,X24B3,X,24,B3,base,X24B3
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C34,X26B3,X,26,B3,base,X26B3
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C35,X32B2,X,32,B2,base,X32B2
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C36,X34B2,X,34,B2,base,X34B2
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C37,X36D,X,36,D,base,X36D
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C38,X38D,X,38,D,base,X38D
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C39,W41B3,W,41,B3,base,W41B3
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C40,W42B3,W,42,B3,base,W42B3
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C41,W43B3,W,43,B3,base,W43B3
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C42,K23B2,K,23,B2,base,K23B2
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C43,K17B2,K,17,B2,base,K17B2
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C44,K19B2,K,19,B2,base,K19B2
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C45,X16A2,X,16,A2,base,X16A2
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C46,K17A2,K,17,A2,base,K17A2
荃湾站控制完成情况withphotorecord.xlsx,低压柜501,C47,K19A2,K,19,A2,base,K19A2
